"cv13","Capital B hook","Standard (double bowl)","Single bowl"
"cv14","Lowercase beta","Standard (no serif)","With serif"
"cv17","Capital D hook","Standard (full bowl)","Half bowl"
"cv19","Lowercase ezh curl","Standard (small bowl)","Large bowl"
"cv20","Capital Ezh","Standard","Reversed sigma"
"cv25","Lowercase rams horn","Standard (small bowl)","Large bowl","Small gamma"
"cv28","Capital H stroke","Standard (horiz stroke)","Vertical stroke"
"cv37","Lowercase J stroke hook","Standard (no top serif)","Top serif"
"cv43","Capital Eng","Standard (lowercase form)","Lowercase no descender","Capital form","Lowercase short stem"
"cv44","Capital N left hook","Standard (capital form)","Lowercase form"
"cv46","Open O","Standard (bottom serif)","Top serif"
"cv47","OU","Standard (closed top)","Open top"
"cv49","Lowercase p hook","Standard (left hook)","Right hook"
"cv55","Capital R tail","Standard (capital form)","Lowercase form"
"cv57","Capital T hook","Standard (left hook)","Right hook"
"cv62","V hook","Standard (curved)","Straight with low hook","Straight with high hook"
"cv68","Capital Y hook","Standard (right hook)","Left hook"
"cv69","Clicks","Standard (descending)","Baseline"
"cv70","Modifier apostrophe","Standard (small)","Large"
"cv71","Modifier colon","Standard (tight)","Expanded"
"cv75","Vietnamese diacritics","Standard (stacked)","Vietnamese style"
"cv76","Ogonek","Standard (curved)","Straight"
"cv77","Caron","Standard (European)","Global style"
"cv78","Greek circumflex","Standard (tilde form)","Porsonic form"
"cv80","Cyrillic E","Standard","Mongolian style"
"cv81","Cyrillic lowercase shha","Standard","Capital form"
"cv82","Cyrillic breve","Standard (Latin form)","Cyrillic form"
"cv83","Greek iota adscript","Standard (adscript)","Subscript"
"cv84","Cyr Serbian Macedonian","Standard","Serbian Macedonian forms"
"cv90","Chinantec tones","Standard","Chinantec style"
"cv98","Empty set","Standard (circular form)","Zero form"
"ss01","Single-story a and g","Standard (double-story)","Single-story"
"ss04","Barred-bowl forms","Standard","Barred bowls"
"ss05","Slanted italic specials","Standard","Slanted"
"ss07","Low-profile diacritics","Standard","Low-profile"
"ss11","Single-story a","Standard (double-story)","Single-story"
"ss12","Single-story g","Standard (double-story)","Single-story"
"smcp","Small caps from lowercase","Standard (lowercase forms)","Small caps"
